 This parsing approach is very similar to the one used successfully by CITATION, but we use a maximum entropy classifier CITATION to determine parser actions, which makes parsing considerably faster,,
 The parser was trained using 8,000 sentences from the GENIA Treebank CITATION, which contains abstracts of papers taken from MEDLINE, annotated with syntactic structures,,
 Due in large part to the creation of biomedical treebanks (CITATION; CITATION) and rapid progress of data-driven parsers (CITATION; CITATION), there are now fast, robust and accurate syntactic parsers for text in the biomedical domain,,
 When combined with recent findings by CITATION, our results indicate that further work in designing PPI extraction systems that use syntactic dependency features would benefit from more adequate syntactic representations or more sophisticated use of NLP than simple extraction of syntactic subtrees,,
 Due in large part to the creation of biomedical treebanks (CITATION; CITATION) and rapid progress of data-driven parsers (CITATION; CITATION), there are now fast, robust and accurate syntactic parsers for text in the biomedical domain,,
 Recent research shows that parsing accuracy of biomedical corpora is now between 80% and 90% (CITATION; CITATION; CITATION),,
 Recent PPI extraction systems have confirmed this intuition (CITATION; CITATION; CITATION),,
 This parsing approach is very similar to the one used successfully by CITATION, but we use a maximum entropy classifier CITATION to determine parser actions, which makes parsing considerably faster,,
 The parser was trained using 8,000 sentences from the GENIA Treebank CITATION, which contains abstracts of papers taken from MEDLINE, annotated with syntactic structures,,
 Due in large part to the creation of biomedical treebanks (CITATION; CITATION) and rapid progress of data-driven parsers (CITATION; CITATION), there are now fast, robust and accurate syntactic parsers for text in the biomedical domain,,
 Recent research shows that parsing accuracy of biomedical corpora is now between 80% and 90% (CITATION; CITATION; CITATION),,
 Recent PPI extraction systems have confirmed this intuition (CITATION; CITATION; CITATION),,
 2 Motivation and related work While recent work has addressed questions relating to the use of different parsers or different types of syntactic representations in the PPI extraction task (CITATION, CITATION), little concrete evidence has been provided for potential benefits of improved parsers or additional resources for training syntactic parsers,,
 In fact, although there is increasing interest in parser evaluation in the biomedical domain in terms of precision/recall of brackets and dependency accuracy (CITATION; CITATION; CITATION), the relationship between these evaluation metrics and the performance of practical information extraction systems remains unclear,,
 These expected benefits drive the development of domain-specific resources, such as the GENIA treebank CITATION, and parser domain adaption CITATION, which are of clear importance in parsing research, but of largely unconfirmed impact on practical systems,,
 CITATION examine a similar issue, the relationship between parser accuracy and overall system accuracy in syntaxinformed machine translation,,
, 2004; CITATION) and rapid progress of data-driven parsers (CITATION; CITATION), there are now fast, robust and accurate syntactic parsers for text in the biomedical domain,,
 Recent research shows that parsing accuracy of biomedical corpora is now between 80% and 90% (CITATION; CITATION; CITATION),,
 Recent PPI extraction systems have confirmed this intuition (CITATION; CITATION; CITATION),,
 2 Motivation and related work While recent work has addressed questions relating to the use of different parsers or different types of syntactic representations in the PPI extraction task (CITATION, CITATION), little concrete evidence has been provided for potential benefits of improved parsers or additional resources for training syntactic parsers,,
 In fact, although there is increasing interest in parser evaluation in the biomedical domain in terms of precision/recall of brackets and dependency accuracy (CITATION; CITATION; CITATION), the relationship between these evaluation metrics and the performance of practical information extraction systems remains unclear,,
 Following recent work on using dependency parsing in systems that identify protein interactions in biomedical text (CITATION; CITATION; CITATION), we have built a system for PPI extraction that uses dependency relations as features,,
 The accuracy of PPI extraction is measured by the abstract-wise 10-fold cross validation CITATION,,
 This confirms the claims by CITATION that subsentential lexical analysis alone is helpful in adapting WSJ parsers to the biomedical domain,,
 The algorithm is essentially a dependency version of the constituent parsing algorithm for probabilistic parsing with LR-like data-driven models described by CITATION,,
 Due in large part to the creation of biomedical treebanks (CITATION; CITATION) and rapid progress of data-driven parsers (CITATION; CITATION), there are now fast, robust and accurate syntactic parsers for text in the biomedical domain,,
 Recent research shows that parsing accuracy of biomedical corpora is now between 80% and 90% (CITATION; CITATION; CITATION),,
 Recent PPI extraction systems have confirmed this intuition (CITATION; CITATION; CITATION),,
 2 Motivation and related work While recent work has addressed questions relating to the use of different parsers or different types of syntactic representations in the PPI extraction task (CITATION, CITATION), little concrete evidence has been provided for potential benefits of improved parsers or additional resources for training syntactic parsers,,
 In fact, although there is increasing interest in parser evaluation in the biomedical domain in terms of precision/recall of brackets and dependency accuracy (CITATION; CITATION; CITATION), the relationship between these evaluation metrics and the performance of practical information extraction systems remains unclear,,
 Due in large part to the creation of biomedical treebanks (CITATION; CITATION) and rapid progress of data-driven parsers (CITATION; CITATION), there are now fast, robust and accurate syntactic parsers for text in the biomedical domain,,
 Recent research shows that parsing accuracy of biomedical corpora is now between 80% and 90% (CITATION; CITATION; CITATION),,
 Recent PPI extraction systems have confirmed this intuition (CITATION; CITATION; Katrenko and,,
 These expected benefits drive the development of domain-specific resources, such as the GENIA treebank CITATION, and parser domain adaption CITATION, which are of clear importance in parsing research, but of largely unconfirmed impact on practical systems,,
 CITATION examine a similar issue, the relationship between parser accuracy and overall system accuracy in syntaxinformed machine translation,,
 This parsing approach is very similar to the one used successfully by CITATION, but we use a maximum entropy classifier CITATION to determine parser actions, which makes parsing considerably faster,,
 The parser was trained using 8,000 sentences from the GENIA Treebank CITATION, which contains abstracts of papers taken from MEDLINE, annotated with syntactic structures,,
